[2023-10-29 20:38:47:797][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2023-10-29 20:38:47:801][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2023-10-29 20:38:47:801][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2023-10-29 20:38:47:801][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.82]
[2023-10-29 20:38:47:841][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2023-10-29 20:38:47:841][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 600 ms
[2023-10-29 20:38:47:904][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-10-29 20:38:47:1055][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-10-29 20:38:47:1075][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-10-29 20:38:47:1091][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-10-29 20:38:47:1153][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-10-29 20:38:47:1190][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2023-10-29 20:38:47:1394][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-10-29 20:38:47:1398][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-10-29 20:38:48:1643][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2023-10-29 20:38:48:1822][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-10-29 20:38:48:1830][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-10-29 20:38:48:1916][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 1.858 seconds (JVM running for 2.264)
[2023-10-29 20:38:49:3249][http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2023-10-29 20:38:49:3249][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2023-10-29 20:38:49:3250][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[2023-10-29 20:40:15:89441][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-10-29 20:40:15:89442][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-10-29 20:40:15:89445][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
